generator_id,level_id,width,height,solid_density,empty_density,enemy_count,enemy_density,reward_count,reward_density,block_density,pipe_density,gap_count,gap_density,max_gap_width,linearity_r2,nonlinearity,surface_resid_std,surface_std,leniency,tile_entropy,column_entropy,unique_column_ratio,compression_ratio,within_ncd,distance_to_original_ncd,ncd_pairs,distance_to_original_centroid
mariogan,mariogan::level_50.txt,168,14,0.12032312925170068,0.8737244897959183,14,0.08333333333333333,0,0.0,0.23809523809523808,0.14285714285714285,2,0.09523809523809523,15,0.01017411435171478,0.9898258856482852,1.567542182638739,1.565177760872609,0.49242518487801507,0.7417487216070153,3.369142065492574,0.17857142857142858,0.07780126849894292,0.7306290283774906,0.851949864333206,1770,3.2386893271841575
mariogan,mariogan::level_51.txt,168,14,0.141156462585034,0.8507653061224489,19,0.1130952380952381,3,0.017857142857142856,0.10714285714285714,0.2857142857142857,3,0.03571428571428571,2,0.007722844183593813,0.9922771558164062,1.973552216363609,1.9692461492367914,0.7932562068275102,0.8492158139808367,3.494017450205545,0.23809523809523808,0.09175475687103594,0.7306290283774906,0.851949864333206,1770,2.708436334065211
mariogan,mariogan::level_52.txt,168,14,0.1130952380952381,0.8767006802721088,24,0.14285714285714285,1,0.005952380952380952,0.23214285714285715,0.17261904761904762,4,0.05952380952380952,3,0.024753100741655376,0.9752468992583446,1.8158234910700164,1.8273377458235207,0.7179878331518891,0.7582703101302382,3.256119352152544,0.20238095238095238,0.08625792811839324,0.7306290283774906,0.851949864333206,1770,3.366343949364134
mariogan,mariogan::level_53.txt,168,14,0.09183673469387756,0.9030612244897959,12,0.07142857142857142,1,0.005952380952380952,0.19642857142857142,0.13690476190476192,7,0.1130952380952381,4,0.09202872569288878,0.9079712743071112,2.006839275200798,2.092630545631784,0.6569224045681813,0.6158917374655046,2.4568194305803486,0.13095238095238096,0.06849894291754757,0.7306290283774906,0.851949864333206,1770,4.967613021285562
mariogan,mariogan::level_54.txt,168,14,0.09991496598639456,0.8949829931972789,12,0.07142857142857142,3,0.017857142857142856,0.18452380952380953,0.17857142857142858,2,0.13095238095238096,15,5.6702188655388674e-05,0.9999432978113446,1.583206650517707,1.5724442340135074,0.47921421920723595,0.6686138172510875,2.866987311027607,0.15476190476190477,0.07230443974630021,0.7306290283774906,0.851949864333206,1770,3.734980990841294
mariogan,mariogan::level_55.txt,168,14,0.10374149659863946,0.8915816326530612,11,0.06547619047619048,2,0.011904761904761904,0.16071428571428573,0.14285714285714285,8,0.19047619047619047,7,0.20130191249775387,0.7986980875022461,1.7541874495785492,1.949255170412968,0.5406296430649707,0.6581705503934531,3.2364261408279837,0.20833333333333334,0.07906976744186046,0.7306290283774906,0.851949864333206,1770,8.42236507839675
mariogan,mariogan::level_56.txt,168,14,0.13562925170068027,0.8601190476190477,10,0.05952380952380952,1,0.005952380952380952,0.23214285714285715,0.14285714285714285,3,0.05357142857142857,3,0.003238970656422202,0.9967610293435778,2.2472331716380007,2.237362468082098,0.7594143625192012,0.7765450081501972,3.21961841955893,0.19642857142857142,0.08118393234672304,0.7306290283774906,0.851949864333206,1770,2.894954383065254
mariogan,mariogan::level_57.txt,168,14,0.12032312925170068,0.875,11,0.06547619047619048,0,0.0,0.15476190476190477,0.1488095238095238,2,0.03571428571428571,3,0.00036786718159365073,0.9996321328184063,1.6472841954329909,1.6375101890596717,0.7792560142560143,0.7126778491804331,2.80826067908984,0.16666666666666666,0.07357293868921776,0.7306290283774906,0.851949864333206,1770,3.584170886349625
mariogan,mariogan::level_58.txt,168,14,0.08715986394557823,0.9090136054421769,9,0.05357142857142857,0,0.0,0.09523809523809523,0.1130952380952381,9,0.19642857142857142,17,0.01579302964972673,0.9842069703502733,1.9426662929360705,1.9441533228778904,0.4218522684664417,0.5597771559606315,2.478548848122689,0.13095238095238096,0.07230443974630021,0.7306290283774906,0.851949864333206,1770,4.390355716606356
mariogan,mariogan::level_59.txt,168,14,0.11522108843537415,0.8801020408163265,11,0.06547619047619048,2,0.011904761904761904,0.16666666666666666,0.15476190476190477,1,0.047619047619047616,8,0.10094743523905769,0.8990525647609423,1.819810876516246,1.9075208666310721,0.6451921617005123,0.7040886327771452,2.809799583660037,0.17857142857142858,0.07272727272727272,0.7306290283774906,0.851949864333206,1770,4.684309929177831
mariogan,mariogan::level_6.txt,168,14,0.13988095238095238,0.8528911564625851,17,0.10119047619047619,3,0.017857142857142856,0.2619047619047619,0.25595238095238093,1,0.011904761904761904,2,0.007205632041963228,0.9927943679580368,1.7441827397701886,1.7399872606168403,0.8409129286125706,0.86738267674832,3.4646421069439555,0.17857142857142858,0.08625792811839324,0.7306290283774906,0.851949864333206,1770,2.9206449814912316
mariogan,mariogan::level_60.txt,168,14,0.12797619047619047,0.8643707482993197,18,0.10714285714285714,2,0.011904761904761904,0.25,0.21428571428571427,3,0.05952380952380952,4,0.024734042381266308,0.9752659576187337,1.6753773040940225,1.6858527840161488,0.7088751214771623,0.8111701908150541,3.365767646652903,0.17261904761904762,0.08625792811839324,0.7306290283774906,0.851949864333206,1770,2.8404735135241217
