level_id,generator,judge_score
mariogpt::level_004.txt,mariogpt,1.0746304120482981
mariogpt::level_005.txt,mariogpt,1.6461224713767935
mariogpt::level_006.txt,mariogpt,2.1449745220733405
mariogpt::level_007.txt,mariogpt,0.11301864223805201
mariogpt::level_008.txt,mariogpt,1.9388993122748153
mariogpt::level_009.txt,mariogpt,0.2970480882438075
mariogpt::level_010.txt,mariogpt,1.1259036713044803
mariogpt::level_011.txt,mariogpt,-0.6676762550581121
mariogpt::level_012.txt,mariogpt,0.8621223590674736
mariogpt::level_013.txt,mariogpt,-0.207263085427194
mariogpt::level_014.txt,mariogpt,2.0383497005640066
mariogpt::level_015.txt,mariogpt,-0.9393453711259802
mariogpt::level_016.txt,mariogpt,-0.2968611111992364
mariogpt::level_017.txt,mariogpt,1.7252903126270582
mariogpt::level_018.txt,mariogpt,0.2906131207873122
mariogpt::level_019.txt,mariogpt,0.6438665586394191
mariogpt::level_020.txt,mariogpt,-0.7051722691074035
mariogpt::level_021.txt,mariogpt,1.4794325390452185
mariogpt::level_022.txt,mariogpt,0.8317081728802702
mariogpt::level_023.txt,mariogpt,0.5615256065311567
mariogpt::level_024.txt,mariogpt,0.30031229159071093
mariogpt::level_025.txt,mariogpt,0.44601911531932825
mariogpt::level_026.txt,mariogpt,0.529815607369923
mariogpt::level_027.txt,mariogpt,0.5705423649957871
mariogpt::level_028.txt,mariogpt,1.4444601291263686
mariogpt::level_029.txt,mariogpt,-0.5302068505132548
mariogpt::level_030.txt,mariogpt,1.5228788969501015
mariogpt::level_031.txt,mariogpt,0.8891555913083931
mariogpt::level_032.txt,mariogpt,1.5342671613809291
mariogpt::level_033.txt,mariogpt,1.017840171471566
mariogpt::level_034.txt,mariogpt,-0.8368972703636031
mariogpt::level_035.txt,mariogpt,0.8881190691181272
mariogpt::level_036.txt,mariogpt,-0.4943551419741719
mariogpt::level_037.txt,mariogpt,1.8487160645638183
mariogpt::level_038.txt,mariogpt,1.3476362633287915
mariogpt::level_039.txt,mariogpt,-0.47247805885249033
mariogpt::level_040.txt,mariogpt,1.0308200568027241
mariogpt::level_041.txt,mariogpt,1.1500696983104723
mariogpt::level_042.txt,mariogpt,-0.17801988349692585
mariogpt::level_043.txt,mariogpt,1.9955557611385075
mariogpt::level_044.txt,mariogpt,1.4584291624118173
mariogpt::level_045.txt,mariogpt,1.5747358286150592
mariogpt::level_046.txt,mariogpt,0.9228182536177137
mariogpt::level_047.txt,mariogpt,1.6710064684883184
mariogpt::level_048.txt,mariogpt,1.071345380717143
mariogpt::level_049.txt,mariogpt,1.4194405780358694
mariogpt::level_050.txt,mariogpt,0.708175823530935
mariogpt::level_051.txt,mariogpt,-1.0215242182069881
mariogpt::level_052.txt,mariogpt,0.24659875210733367
mariogpt::level_053.txt,mariogpt,1.7745544046964667
mariogpt::level_054.txt,mariogpt,-0.27290971773261796
mariogpt::level_055.txt,mariogpt,0.08924038174726169
mariogpt::level_056.txt,mariogpt,-0.7114334585997942
mariogpt::level_057.txt,mariogpt,2.0836965993409597
mariogpt::level_058.txt,mariogpt,-1.2373082333292147
mariogpt::level_059.txt,mariogpt,0.7802966564554802
mariogpt::level_060.txt,mariogpt,0.41436838682719956
mariogpt::level_061.txt,mariogpt,0.7765465076245988
mariogpt::level_062.txt,mariogpt,1.2573113682170467
mariogpt::level_063.txt,mariogpt,0.5990664216833792
mariogpt::level_064.txt,mariogpt,1.7341746233809978
mariogpt::level_065.txt,mariogpt,1.0165044170235615
mariogpt::level_066.txt,mariogpt,0.46364049571994775
mariogpt::level_067.txt,mariogpt,-0.18474256438015774
mariogpt::level_068.txt,mariogpt,0.5659689840928334
mariogpt::level_069.txt,mariogpt,1.694893994655203
mariogpt::level_070.txt,mariogpt,1.4258782856058523
mariogpt::level_071.txt,mariogpt,0.11832596448611322
mariogpt::level_072.txt,mariogpt,0.3318322247139054
mariogpt::level_073.txt,mariogpt,1.4011358731598929
mariogpt::level_074.txt,mariogpt,1.0877423377359612
mariogpt::level_075.txt,mariogpt,1.5569134055408995
mariogpt::level_076.txt,mariogpt,1.459392440420133
mariogpt::level_077.txt,mariogpt,0.6470111567270096
mariogpt::level_078.txt,mariogpt,0.8851992434536731
mariogpt::level_079.txt,mariogpt,1.8637420851923592
mariogpt::level_080.txt,mariogpt,0.44287016149395314
mariogpt::level_081.txt,mariogpt,0.4653370877119689
mariogpt::level_082.txt,mariogpt,-0.046790308224450294
mariogpt::level_083.txt,mariogpt,0.7478677196799639
mariogpt::level_084.txt,mariogpt,1.418814442197627
mariogpt::level_085.txt,mariogpt,0.24372868801071326
mariogpt::level_086.txt,mariogpt,0.7711071476805054
mariogpt::level_087.txt,mariogpt,1.7965886299832567
mariogpt::level_088.txt,mariogpt,-0.3626240936259021
mariogpt::level_089.txt,mariogpt,2.093532247970096
mariogpt::level_090.txt,mariogpt,1.9696636453212781
mariogpt::level_091.txt,mariogpt,1.258686565600085
